id,Rent,livingspace,NoOfRooms,lat,lon,distanceShop,dum_balcony,dum_builtinkitchen,dum_floorplan,dum_garden,dum_privateoffer
1000365,399,50,2,51.713421,8.7945995,0.79409164,0,0,0,0,0
1000372,425,77,3,51.515388,7.0677099,0.8960734,1,0,0,0,0
1000375,429,78,3,51.276932,7.7715201,9.7534933,1,0,0,1,0
1000377,436,65,2,51.501591,7.0058498,3.8679705,1,0,0,0,0
1000378,443.07001,95,4.5,51.492271,6.7962499,0.93131185,1,0,0,0,0
1000380,450,77,3,51.462219,6.7628198,0.79279506,0,0,0,0,0
1000381,400,88,3,50.81921,12.54422,1.181338,1,0,1,0,0
1000385,469,110,4,51.276741,7.7705002,1.9322984,1,0,0,1,0
1000386,469,75,3,50.499611,7.2757301,4.778585,1,0,0,0,0
1000387,945,70,2,53.46244,9.9827299,4.139967,1,1,1,0,0
1000388,235.39,43.509998,1,51.345299,7.39991,8.5655127,1,0,1,0,0
1000394,1248,138.49001,4,51.34568,12.37241,3.7613659,1,0,1,0,0
1000397,698,79.82,3,51.346531,12.40338,3.8894851,1,0,0,0,0
1000399,470,76,3,51.653069,7.1001,0.342161,0,0,0,0,0
1000403,485,80,3,51.508011,6.7640901,1.4279225,1,0,0,0,0
1000404,485,72,2.5,51.428951,6.8923302,4.4913731,1,0,0,0,0
1000408,489,66,2,51.261719,7.0778899,2.9662414,1,0,0,0,0
1000409,495,71,3,51.514969,6.8917198,3.5103977,1,0,0,0,0
1000410,495,71,3,51.471699,6.77949,3.2675567,1,0,0,0,0
1000411,515,64,1,49.975929,9.1489296,5.3859649,0,0,0,0,0
1000415,525,105,4,51.480709,6.8670301,3.6263041,0,0,0,0,0
1000416,535,76,3,51.181961,7.20647,3.5502322,1,0,1,0,0
1000418,575,89,3,51.38023,6.7585402,1.2482997,1,0,0,0,0
1000420,587.89001,98,2,51.275291,7.21733,2.2181835,0,0,0,0,0
1000421,595,95,4,51.653149,7.10008,5.1396499,0,0,0,0,0
1000424,1000,92,2,49.483421,8.4682798,0.49520466,1,1,0,0,0
1000426,900,74.629997,3,49.60157,11.03872,2.4122572,1,0,1,0,0
1000427,369,48.869999,2,51.368462,12.34994,1.2410277,1,1,0,0,0
1000428,1305,118.57,4,51.328571,12.37278,3.7533133,1,0,1,0,0
1000429,379,58.639999,3,51.371239,12.34578,1.1635445,1,0,1,1,0
1000430,300,50.009998,2,50.840549,12.90988,1.8489691,1,1,1,1,0
1000432,1437.4,106.87,3,52.49147,13.3717,2.1114857,1,0,1,0,0
1000434,795,35,1,50.172981,8.6416302,2.2081225,0,1,0,0,0
1000438,1350,108.72,3,52.5149,13.47399,4.8263702,1,0,1,0,0
1000439,599,69.629997,3,52.67823,13.16869,6.0690312,1,0,1,0,0
1000440,1138,91.010002,3,52.507229,13.5565,6.0607791,1,1,0,0,0
1000441,1149,73.410004,2,52.5522,13.4119,0.061082382,0,1,1,0,0
1000442,1085,77.510002,2,52.3899,13.05999,6.9430156,1,1,1,0,0
1000443,649,101.58,4,50.823101,12.93896,4.1634622,1,0,1,1,0
1000444,911,71.129997,2.5,51.989342,7.6185398,0.076583199,0,0,1,0,0
